EIN,NAME,COND,soi.year,DBA_NAME,GRP_RET_FOR_AFFLTS,GRP_EXMPT_NUM,ISSR_EIN_A,ISSR_EIN_B,ISSR_EIN_C,ISSR_EIN_D
010119375,MEGANTIC FISH & GAME,NA,2008,NA,N,NA,NA,NA,NA,NA
010119375,MEGANTIC FISH & GAME CORP,NA,2009,NA,N,NA,NA,NA,NA,NA
010119375,MEGANTIC FISH AND GAME,NA,2010,NA,N,NA,NA,NA,NA,NA
010119375,MEGANTIC FISH AND GAME CO BERRY TALBOT ROYER,NA,2011,NA,N,NA,NA,NA,NA,NA
010119375,MEGANTIC FISH AND GAME CO BERRY TALBOT ROYER,NA,2012,NA,N,NA,NA,NA,NA,NA
010145780,PURPOODOCK CLUB,NA,2008,NA,N,NA,NA,NA,NA,NA
010145780,PURPOODOCK CLUB,NA,2009,NA,N,NA,NA,NA,NA,NA
010145780,PURPOODOCK CLUB,NA,2010,NA,N,NA,NA,NA,NA,NA
010145780,PURPOODOCK CLUB,NA,2011,NA,N,NA,NA,NA,NA,NA
010145780,PURPOODOCK CLUB,NA,2012,NA,N,NA,NA,NA,NA,NA
010224138,ROCKLAND FESTIVAL CORPORATION,NA,2009,NA,N,NA,NA,NA,NA,NA
010224138,ROCKLAND FESTIVAL CORPORATION,NA,2010,NA,N,NA,NA,NA,NA,NA
010224138,ROCKLAND FESTIVAL CORPORATION,NA,2011,NA,N,NA,NA,NA,NA,NA
010224138,ROCKLAND FESTIVAL CORPORATION,NA,2012,NA,N,NA,NA,NA,NA,NA
010264358,THETA CHI FRATERNITY INC GAMMA CHAPTER,NA,2010,NA,NA,241,NA,NA,NA,NA
010264358,THETA CHI FRATERNITY INC GAMMA CHAPTER,NA,2011,NA,NA,241,NA,NA,NA,NA
010264358,THETA CHI FRATERNITY INC GAMMA CHAPTER,NA,2012,NA,NA,241,NA,NA,NA,NA
010269721,HARRASEEKET YACHT CLUB,NA,2011,NA,N,NA,NA,NA,NA,NA
010269721,HARRASEEKET YACHT CLUB,NA,2012,NA,N,NA,NA,NA,NA,NA
010283794,Maine Health Care Association,NA,2008,NA,N,NA,NA,NA,NA,NA
010283794,Maine Health Care Association,NA,2009,NA,N,NA,NA,NA,NA,NA
010283794,Maine Health Care Association,NA,2011,NA,N,NA,NA,NA,NA,NA
010283794,Maine Health Care Association,NA,2012,NA,N,NA,NA,NA,NA,NA
010283794,MAINE HEALTH CARE ASSOCIATION,NA,2010,NA,N,NA,NA,NA,NA,NA
010286541,Maine Dental Service Corporation,NA,2011,Delta Dental Plan of Maine,N,NA,NA,NA,NA,NA
010286541,Maine Dental Service Corporation,NA,2012,Delta Dental Plan of Maine,N,NA,NA,NA,NA,NA
010286541,MAINE DENTAL SERVICE CORPORATION,NA,2008,DELTA DENTAL PLAN OF MAINE,N,NA,NA,NA,NA,NA
010286541,MAINE DENTAL SERVICE CORPORATION,NA,2009,DELTA DENTAL PLAN OF MAINE,N,NA,NA,NA,NA,NA
010286541,MAINE DENTAL SERVICE CORPORATION,NA,2010,DELTA DENTAL PLAN OF MAINE,N,NA,NA,NA,NA,NA
010313213,YORK GOLF & TENNIS CLUB,NA,2008,NA,N,NA,NA,NA,NA,NA
010313213,YORK GOLF & TENNIS CLUB,NA,2009,NA,N,NA,NA,NA,NA,NA
010313213,YORK GOLF & TENNIS CLUB,NA,2010,NA,N,NA,NA,NA,NA,NA
010313213,YORK GOLF & TENNIS CLUB,NA,2011,NA,N,NA,NA,NA,NA,NA
010313213,YORK GOLF & TENNIS CLUB,NA,2012,NA,N,NA,NA,NA,NA,NA
010341134,LAKE ARROWHEAD COMMUNITY INC,NA,2008,NA,N,NA,NA,NA,NA,NA
010341134,LAKE ARROWHEAD COMMUNITY INC,NA,2009,NA,N,NA,NA,NA,NA,NA
010341134,LAKE ARROWHEAD COMMUNITY INC,NA,2010,NA,N,NA,NA,NA,NA,NA
010341134,LAKE ARROWHEAD COMMUNITY INC,NA,2011,NA,N,NA,NA,NA,NA,NA
010341134,LAKE ARROWHEAD COMMUNITY INC,NA,2012,NA,N,NA,NA,NA,NA,NA
010382676,EMPES OF MUNICIPAL & OTHER PUBLIC EMPR/ME HLTH INS,NA,2008,MAINE MUNICIPAL EMPLO9YEES HEALTH TRUST,N,NA,NA,NA,NA,NA
010382676,EMPLOYEE OF MUNICIPAL AND OTHER PUBLIC EMPLOYERS OF MAINE TR,NA,2010,NA,N,NA,NA,NA,NA,NA
010382676,EMPLOYEES OF MUNICIPAL & OTHER PUBLIC EMPLOYEES,NA,2011,NA,N,NA,NA,NA,NA,NA
010382676,EMPLOYEES OF MUNICIPAL AND OTHER PUBLIC EMPLOYEES,NA,2012,NA,N,NA,NA,NA,NA,NA
010382676,MAINE MUNICIPAL EMPLOYEES HEALTH TR,NA,2009,NA,N,NA,NA,NA,NA,NA
010386934,MSAD 48 TEACHERS ASSOCIATION,NA,2008,NA,N,NA,NA,NA,NA,NA
010414169,The Woodlands Club,NA,2008,NA,N,NA,NA,NA,NA,NA
010414169,The Woodlands Club,NA,2009,NA,N,NA,NA,NA,NA,NA
010414169,THE WOODLANDS CLUB,NA,2010,NA,N,NA,NA,NA,NA,NA
010414169,THE WOODLANDS CLUB,NA,2011,NA,N,NA,NA,NA,NA,NA
010414169,THE WOODLANDS CLUB,NA,2012,NA,N,NA,NA,NA,NA,NA
010456644,MAINE YANKEE ATOMIC POWER COMPANY EMPLOYEE WELFARE TRUST,NA,2010,NA,N,NA,NA,NA,NA,NA
010456644,MAINE YANKEE ATOMIC POWER COMPANY EMPLOYEE WELFARE TRUST,NA,2011,NA,N,NA,NA,NA,NA,NA
010456644,MAINE YANKEE ATOMIC POWER COMPANY EMPLOYEE WELFARE TRUST,NA,2012,NA,N,NA,NA,NA,NA,NA
010456644,MAINE YANKEE ATOMIC PWR EE WELFARE TR,NA,2009,NA,N,NA,NA,NA,NA,NA
010477639,WELLPOINT RETIREE MEDICAL VEBA TRUST,NA,2009,NA,N,NA,NA,NA,NA,NA
010477639,WELLPOINT RETIREE MEDICAL VEBA TRUST,NA,2010,NA,N,NA,NA,NA,NA,NA
010477639,WELLPOINT RETIREE VEBA TRUST,NA,2011,NA,N,NA,NA,NA,NA,NA
010477639,WELLPOINT RETIREE VEBA TRUST,NA,2012,NA,N,NA,NA,NA,NA,NA
010479776,Maine Education Association Benefits Trust,NA,2008,NA,N,NA,NA,NA,NA,NA
010479776,Maine Education Association Benefits Trust,NA,2009,NA,N,NA,NA,NA,NA,NA
010479776,Maine Education Association Benefits Trust,NA,2010,NA,N,NA,NA,NA,NA,NA
010479776,Maine Education Association Benefits Trust,NA,2011,NA,N,NA,NA,NA,NA,NA
010479776,Maine Education Association Benefits Trust,NA,2012,NA,N,NA,NA,NA,NA,NA
010517029,CMP PRM UNION VEBA TRUST,NA,2008,NA,N,NA,NA,NA,NA,NA
010517029,CMP PRM UNION VEBA TRUST,NA,2009,NA,N,NA,NA,NA,NA,NA
010517029,CMP PRM UNION VEBA TRUST,NA,2010,NA,N,NA,NA,NA,NA,NA
010517029,CMP PRM UNION VEBA TRUST,NA,2011,NA,N,NA,NA,NA,NA,NA
010517029,CMP PRM UNION VERBA TRUST,NA,2012,NA,N,NA,NA,NA,NA,NA
010527659,FALMOUTH ROD & GUN CLUB,NA,2009,NA,N,NA,NA,NA,NA,NA
010527659,FALMOUTH ROD & GUN CLUB INC,NA,2008,FALMOUTH ROD & GUN CLUB INC,N,NA,NA,NA,NA,NA
010567018,ALLIANCE OF NEW YORK STATE YMCAS INC C/O CAPITAL DISTRICT YM,NA,2012,NA,N,NA,NA,NA,NA,NA
010567018,"ALLIANCE OF NEW YORK STATE YMCAS, INC.",NA,2011,NA,N,NA,NA,NA,NA,NA
010567018,YMCA'S OF NEW YORK STATE INC C/O CAPITAL DISTRICT YMCA,NA,2010,NA,N,NA,NA,NA,NA,NA
010588077,DEMOCRATIC FARMER LABOR PARTY BUILDING FUND,NA,2012,NA,N,NA,NA,NA,NA,NA
010597016,Pelican Isle Yacht Club Inc,NA,2010,NA,N,NA,NA,NA,NA,NA
010597016,Pelican Isle Yacht Club Inc,NA,2011,NA,N,NA,NA,NA,NA,NA
010597016,Pelican Isle Yacht Club Inc,NA,2012,NA,N,NA,NA,NA,NA,NA
010597016,PELICAN ISLE YACHT CLUB INC,NA,2009,NA,N,NA,NA,NA,NA,NA
010729151,HEALTHPLUS PARTNERS INC,NA,2008,NA,N,NA,NA,NA,NA,NA
