SS,SS2,SSTYPE,SSTYPE2,CC1,CCTYPE,SSCC,BMF_DD,BMF_COUNT,SSCCTYPE1,SSCCTYPE2
1,c01,credit unions (federal),C01 CREDIT UNIONS (FEDERAL),1,Government Instrumentality,c01-1,YES,703,501c01-1 Government Instrumentality,C01 CREDIT UNIONS (FEDERAL) (501c01-1 Government Instrumentality)
2,c02,title holding corporations,C02 TITLE HOLDING CORPORATIONS,1,Title-Holding Corporation,c02-1,YES,4049,501c02-1 Title-Holding Corporation,C02 TITLE HOLDING CORPORATIONS (501c02-1 Title-Holding Corporation)
3,c03,public charities,C03 PUBLIC CHARITIES,1,Charitable Organization,c03-1,YES,983792,501c03-1 Charitable Organization,C03 PUBLIC CHARITIES (501c03-1 Charitable Organization)
3,c03,public charities,C03 PUBLIC CHARITIES,2,Educational Organization,c03-2,YES,240731,501c03-2 Educational Organization,C03 PUBLIC CHARITIES (501c03-2 Educational Organization)
3,c03,public charities,C03 PUBLIC CHARITIES,3,Literary Organization,c03-3,YES,3011,501c03-3 Literary Organization,C03 PUBLIC CHARITIES (501c03-3 Literary Organization)
3,c03,public charities,C03 PUBLIC CHARITIES,4,Organization to Prevent Cruelty to Animals,c03-4,YES,9125,501c03-4 Organization to Prevent Cruelty to Animals,C03 PUBLIC CHARITIES (501c03-4 Organization to Prevent Cruelty to Animals)
3,c03,public charities,C03 PUBLIC CHARITIES,5,Organization to Prevent Cruelty to Children,c03-5,YES,1155,501c03-5 Organization to Prevent Cruelty to Children,C03 PUBLIC CHARITIES (501c03-5 Organization to Prevent Cruelty to Children)
3,c03,public charities,C03 PUBLIC CHARITIES,6,Organization for Public Safety Testing,c03-6,YES,1342,501c03-6 Organization for Public Safety Testing,C03 PUBLIC CHARITIES (501c03-6 Organization for Public Safety Testing)
3,c03,public charities,C03 PUBLIC CHARITIES,7,Religious Organization,c03-7,YES,282558,501c03-7 Religious Organization,C03 PUBLIC CHARITIES (501c03-7 Religious Organization)
3,c03,public charities,C03 PUBLIC CHARITIES,8,Scientific Organization,c03-8,YES,2804,501c03-8 Scientific Organization,C03 PUBLIC CHARITIES (501c03-8 Scientific Organization)
4,c04,civic and advocacy,C04 CIVIC AND ADVOCACY,1,Civic League,c04-1,YES,27762,501c04-1 Civic League,C04 CIVIC AND ADVOCACY (501c04-1 Civic League)
4,c04,civic and advocacy,C04 CIVIC AND ADVOCACY,2,Local Association of Employees,c04-2,YES,2580,501c04-2 Local Association of Employees,C04 CIVIC AND ADVOCACY (501c04-2 Local Association of Employees)
4,c04,civic and advocacy,C04 CIVIC AND ADVOCACY,3,Social Welfare Organization,c04-3,YES,40098,501c04-3 Social Welfare Organization,C04 CIVIC AND ADVOCACY (501c04-3 Social Welfare Organization)
5,c05,labor and agriculture associations,C05 LABOR AND AGRICULTURE ASSOCIATIONS,1,Agricultural Organization,c05-1,YES,9589,501c05-1 Agricultural Organization,C05 LABOR AND AGRICULTURE ASSOCIATIONS (501c05-1 Agricultural Organization)
5,c05,labor and agriculture associations,C05 LABOR AND AGRICULTURE ASSOCIATIONS,2,Horticultural Organization,c05-2,YES,802,501c05-2 Horticultural Organization,C05 LABOR AND AGRICULTURE ASSOCIATIONS (501c05-2 Horticultural Organization)
5,c05,labor and agriculture associations,C05 LABOR AND AGRICULTURE ASSOCIATIONS,3,Labor Organization,c05-3,YES,33249,501c05-3 Labor Organization,C05 LABOR AND AGRICULTURE ASSOCIATIONS (501c05-3 Labor Organization)
6,c06,business associations,C06 BUSINESS ASSOCIATIONS,1,Board of Trade,c06-1,YES,15113,501c06-1 Board of Trade,C06 BUSINESS ASSOCIATIONS (501c06-1 Board of Trade)
6,c06,business associations,C06 BUSINESS ASSOCIATIONS,2,Business League,c06-2,YES,35974,501c06-2 Business League,C06 BUSINESS ASSOCIATIONS (501c06-2 Business League)
6,c06,business associations,C06 BUSINESS ASSOCIATIONS,3,Chamber of Commerce,c06-3,YES,6566,501c06-3 Chamber of Commerce,C06 BUSINESS ASSOCIATIONS (501c06-3 Chamber of Commerce)
6,c06,business associations,C06 BUSINESS ASSOCIATIONS,4,Real Estate Board,c06-4,YES,511,501c06-4 Real Estate Board,C06 BUSINESS ASSOCIATIONS (501c06-4 Real Estate Board)
7,c07,recreation associations,C07 RECREATION ASSOCIATIONS,1,"Pleasure, Recreational, or Social Club",c07-1,YES,46032,"501c07-1 Pleasure, Recreational, or Social Club","C07 RECREATION ASSOCIATIONS (501c07-1 Pleasure, Recreational, or Social Club)"
8,c08,fraternal societies (membership),C08 FRATERNAL SOCIETIES (MEMBERSHIP),1,"Fraternal Beneficiary Society, Order or Association",c08-1,YES,36037,"501c08-1 Fraternal Beneficiary Society, Order or Association","C08 FRATERNAL SOCIETIES (MEMBERSHIP) (501c08-1 Fraternal Beneficiary Society, Order or Association)"
9,c09,employee insurance associations,C09 EMPLOYEE INSURANCE ASSOCIATIONS,1,Voluntary Employees' Beneficiary Association (Non-Govt. Emps.),c09-1,YES,5025,501c09-1 Voluntary Employees' Beneficiary Association (Non-Govt. Emps.),C09 EMPLOYEE INSURANCE ASSOCIATIONS (501c09-1 Voluntary Employees' Beneficiary Association (Non-Govt. Emps.))
9,c09,employee insurance associations,C09 EMPLOYEE INSURANCE ASSOCIATIONS,2,Voluntary Employees' Beneficiary Association (Govt. Emps.),c09-2,YES,347,501c09-2 Voluntary Employees' Beneficiary Association (Govt. Emps.),C09 EMPLOYEE INSURANCE ASSOCIATIONS (501c09-2 Voluntary Employees' Beneficiary Association (Govt. Emps.))
10,c10,fraternal societies (charitable),C10 FRATERNAL SOCIETIES (CHARITABLE),1,Domestic Fraternal Societies and Associations,c10-1,YES,14770,501c10-1 Domestic Fraternal Societies and Associations,C10 FRATERNAL SOCIETIES (CHARITABLE) (501c10-1 Domestic Fraternal Societies and Associations)
11,c11,teachers retirement funds,C11 TEACHERS RETIREMENT FUNDS,1,Teachers Retirement Fund Assoc.,c11-1,YES,6,501c11-1 Teachers Retirement Fund Assoc.,C11 TEACHERS RETIREMENT FUNDS (501c11-1 Teachers Retirement Fund Assoc.)
12,c12,life insurance etc,C12 LIFE INSURANCE ETC,1,Benevolent Life Insurance Assoc.,c12-1,YES,1453,501c12-1 Benevolent Life Insurance Assoc.,C12 LIFE INSURANCE ETC (501c12-1 Benevolent Life Insurance Assoc.)
12,c12,life insurance etc,C12 LIFE INSURANCE ETC,2,Mutual Ditch or Irrigation Co.,c12-2,YES,1708,501c12-2 Mutual Ditch or Irrigation Co.,C12 LIFE INSURANCE ETC (501c12-2 Mutual Ditch or Irrigation Co.)
12,c12,life insurance etc,C12 LIFE INSURANCE ETC,3,Mutual Cooperative Telephone Co.,c12-3,YES,271,501c12-3 Mutual Cooperative Telephone Co.,C12 LIFE INSURANCE ETC (501c12-3 Mutual Cooperative Telephone Co.)
12,c12,life insurance etc,C12 LIFE INSURANCE ETC,4,Organization Like Those on Three Preceding Lines,c12-4,YES,1899,501c12-4 Organization Like Those on Three Preceding Lines,C12 LIFE INSURANCE ETC (501c12-4 Organization Like Those on Three Preceding Lines)
13,c13,cemetaries,C13 CEMETARIES,1,Burial Association,c13-1,YES,5214,501c13-1 Burial Association,C13 CEMETARIES (501c13-1 Burial Association)
13,c13,cemetaries,C13 CEMETARIES,2,Cemetery Company,c13-2,YES,4276,501c13-2 Cemetery Company,C13 CEMETARIES (501c13-2 Cemetery Company)
